regime,subset,unit,N,arm,skill,rmse_early,false_alarm,detect_corr
ood_combo,DS03,10,10,E_MLP,0.4049963,0.02225932,0.03887763,0.905129532019297
ood_combo,DS03,10,10,E_MixLinear,0.9111342,0.01758712,0.005926699,0.792007029056549
ood_combo,DS03,10,10,E_WPMixer,-6.021427,0.06953701,0.1310831,0.718979934851328
ood_combo,DS03,10,10,D,0.9801766,0.003310823,0.002045153,0.986782987425951
ood_combo,DS03,10,100,Z_zero,0,0.005528642,0,0
ood_combo,DS03,10,100,E_Lin,0.9335149,0.00484006,0.004538459,0.99566783507665
ood_combo,DS03,10,100,E_MLP,0.4558404,0.01454907,0.03396263,0.905374447504679
ood_combo,DS03,10,100,E_MixLinear,0.9464878,0.0125905,0.004312132,0.901114165782928
ood_combo,DS03,10,100,E_WPMixer,-4.430481,0.04643859,0.1182991,0.726106544335683
ood_combo,DS03,10,100,D,0.9827443,0.003655203,0.002111508,0.990975539248509
ood_combo,DS03,10,1000,Z_zero,0,0.005528642,0,0
ood_combo,DS03,10,1000,E_Lin,0.93493,0.004421644,0.004395021,0.99570220708847
ood_combo,DS03,10,1000,E_MLP,0.4585738,0.01294307,0.03228708,0.913908580938975
ood_combo,DS03,10,1000,E_MixLinear,0.9436426,0.01255708,0.004440061,0.893712361653646
ood_combo,DS03,10,1000,E_WPMixer,-4.37995,0.04219167,0.1139263,0.708707938591639
ood_combo,DS03,10,1000,D,0.9835724,0.003640983,0.002072679,0.991644726674129
ood_combo,DS03,11,1,Z_zero,0,0.005299265,0,0
ood_combo,DS03,11,1,E_Lin,0.8456415,0.02139598,0.0127371,0.75079533457756
ood_combo,DS03,11,1,E_MLP,0.1372898,0.06422161,0.05450705,0.636908719937007
ood_combo,DS03,11,1,E_MixLinear,0.6634307,0.03128259,0.009803521,0.825879991054535
ood_combo,DS03,11,1,E_WPMixer,-21.80803,0.2701878,0.2946785,0.0591703135481415
ood_combo,DS03,11,1,D,0.9329627,0.004303094,0.001365146,0.976804758237119
ood_combo,DS03,11,10,Z_zero,0,0.005299265,0,0
ood_combo,DS03,11,10,E_Lin,0.9231418,0.00981698,0.005529703,0.944860339164734
ood_combo,DS03,11,10,E_MLP,0.728108,0.02340883,0.02582216,0.834375282128652
ood_combo,DS03,11,10,E_MixLinear,0.7351074,0.02355843,0.005142218,0.964855154355367
ood_combo,DS03,11,10,E_WPMixer,-3.502603,0.09104922,0.1532065,0.497869670391083
ood_combo,DS03,11,10,D,0.9739579,0.003247307,0.0008857868,0.99168136580237
ood_combo,DS03,11,100,Z_zero,0,0.005299265,0,0
ood_combo,DS03,11,100,E_Lin,0.9334732,0.006407937,0.003664481,0.984001557032267
ood_combo,DS03,11,100,E_MLP,0.838658,0.01406279,0.01686345,0.904179732004801
ood_combo,DS03,11,100,E_MixLinear,0.7924061,0.01882402,0.004282622,0.979148685932159
ood_combo,DS03,11,100,E_WPMixer,-1.220754,0.05805148,0.09938645,0.750711778799693
ood_combo,DS03,11,100,D,0.9794036,0.002629373,0.000845144,0.995898416772886
ood_combo,DS03,11,1000,Z_zero,0,0.005299265,0,0
ood_combo,DS03,11,1000,E_Lin,0.9340593,0.005807234,0.003531107,0.990157425403595
ood_combo,DS03,11,1000,E_MLP,0.8566827,0.01323949,0.01660075,0.91587769985199
ood_combo,DS03,11,1000,E_MixLinear,0.7814444,0.01985539,0.004248021,0.981457432111104
ood_combo,DS03,11,1000,E_WPMixer,-1.156964,0.05628974,0.098253,0.735802869002024
ood_combo,DS03,11,1000,D,0.9806614,0.002647416,0.0007682561,0.996319953039539
ood_combo,DS03,12,1,Z_zero,0,0.006842542,0,0
ood_combo,DS03,12,1,E_Lin,0.9222031,0.01604354,0.01131027,0.927553673585256
ood_combo,DS03,12,1,E_MLP,-0.1575129,0.05848916,0.05800151,0.601673513650894
ood_combo,DS03,12,1,E_MixLinear,0.6493046,0.02861511,0.01090527,0.58970545232296
ood_combo,DS03,12,1,E_WPMixer,-21.56737,0.2018194,0.2600847,0.55791966120402
ood_combo,DS03,12,1,D,0.8982348,0.004766682,0.004166423,0.988302488267437
ood_combo,DS03,12,10,Z_zero,0,0.006842542,0,0
ood_combo,DS03,12,10,E_Lin,0.9788433,0.006300165,0.004395451,0.985256433486938
ood_combo,DS03,12,10,E_MLP,0.4478768,0.01619878,0.03666944,0.696492592493693
ood_combo,DS03,12,10,E_MixLinear,0.7444246,0.01405489,0.004389606,0.690634648005168
ood_combo,DS03,12,10,E_WPMixer,-2.765071,0.07213667,0.09616908,0.714974323908488
ood_combo,DS03,12,10,D,0.9401769,0.003917367,0.003189392,0.992984966137383
ood_combo,DS03,12,100,Z_zero,0,0.006842542,0,0
ood_combo,DS03,12,100,E_Lin,0.9847681,0.003949773,0.00257047,0.994711836179098
ood_combo,DS03,12,100,E_MLP,0.5306655,0.01184133,0.03271149,0.752674480279287
ood_combo,DS03,12,100,E_MixLinear,0.7906895,0.01305931,0.003667366,0.767193833986918
ood_combo,DS03,12,100,E_WPMixer,-1.276577,0.04923574,0.06938317,0.857001443703969
ood_combo,DS03,12,100,D,0.946605,0.003184363,0.002581139,0.994969579779113
ood_combo,DS03,12,1000,Z_zero,0,0.006842542,0,0
ood_combo,DS03,12,1000,E_Lin,0.985262,0.00368748,0.002277324,0.995530347029368
ood_combo,DS03,12,1000,E_MLP,0.5557324,0.01133186,0.03109449,0.796447336673737
ood_combo,DS03,12,1000,E_MixLinear,0.7772301,0.01222322,0.00375753,0.744307965040207
ood_combo,DS03,12,1000,E_WPMixer,-1.123238,0.0479075,0.06448487,0.842999438444773
ood_combo,DS03,12,1000,D,0.9469811,0.003737893,0.002974446,0.995283243252809
ood_combo,DS03,13,1,Z_zero,0,0.006431437,0,0
ood_combo,DS03,13,1,E_Lin,0.8850701,0.01766593,0.01172206,0.947681407133738
