mode,subset,unit,N,arm,lambda,skill,rmse,rmse_early,false_alarm,detect_corr
full,DS02,11,10,H0,316.227766016838,0.897588112456847,0.0267031577840186,0.00288596339057739,0.00496273415186079,0.994378101057694
full,DS02,11,10,H0,1000,0.737835693176021,0.0427242274167441,0.0031346873823036,0.00654575970093607,0.99437661636466
full,DS02,11,10,TRA4,0.1,0.416060879444065,0.0637633641494097,0.0056192383630312,0.000789751746274696,0.95829504037191
full,DS02,11,10,TRA4,0.316227766016838,0.644299875152918,0.0497656230205598,0.00412648136760756,0.000766623938417382,0.962436332495098
full,DS02,11,10,TRA4,1,0.819935068048257,0.0354080497852416,0.00344677923834334,0.000744091386169132,0.966124340258962
full,DS02,11,10,TRA4,3.16227766016838,0.912458061076379,0.024688546216639,0.00332351849185681,0.000732233412693317,0.976056638640402
full,DS02,11,10,TRA4,10,0.96213589147446,0.0162368322838728,0.00325095069018623,0.000754117386972689,0.989158948450621
full,DS02,11,10,TRA4,31.6227766016838,0.976386455635852,0.0128223617766125,0.00317101130564609,0.000993948141914236,0.993963670900983
full,DS02,11,10,TRA4,100,0.969350734262858,0.0146082258254641,0.00304860008698476,0.00243110297706695,0.994492610603836
full,DS02,11,10,TRA4,316.227766016838,0.898182719609016,0.0266255251818145,0.00289169820663783,0.00510397587138906,0.994873871002775
full,DS02,11,10,TRA4,1000,0.736248316427589,0.0428533775206933,0.00313327127803805,0.00669812516527272,0.994753900531349
full,DS02,11,10,MoE_K4,0.1,0.532009993133107,0.0570828602768967,0.00485375201113165,0.000762165568346507,0.959284013534341
full,DS02,11,10,MoE_K4,0.316227766016838,0.694144503259287,0.0461472240558289,0.00374128568997098,0.000742846243026509,0.962336797505283
full,DS02,11,10,MoE_K4,1,0.837456007695894,0.0336413099097745,0.00331699295271839,0.000723091549381848,0.966530975545085
full,DS02,11,10,MoE_K4,3.16227766016838,0.918969267353002,0.023752663675581,0.0032116831431673,0.000711009720536939,0.976408117492346
full,DS02,11,10,MoE_K4,10,0.963214118552186,0.0160039807396706,0.0031505147272577,0.000725312351591062,0.988954061506189
full,DS02,11,10,MoE_K4,31.6227766016838,0.975288022949129,0.013117201275908,0.00310068129744397,0.000915673339068858,0.993878390486395
full,DS02,11,10,MoE_K4,100,0.96473572360303,0.0156694922884588,0.00300299688148773,0.00213376230046372,0.994402635603789
full,DS02,11,10,MoE_K4,316.227766016838,0.893217753052923,0.0272669752662596,0.00288933893244124,0.00462345114472382,0.994892213094924
full,DS02,11,10,MoE_K4,1000,0.732630048749064,0.04314631750555,0.00313815219047505,0.00636894286674058,0.994884839101923
full,DS02,11,10,FreeMLP,0.1,0.418464748175994,0.0636319833034232,0.00640222520523718,0.000780909434196858,0.963647077637903
