mode,subset,N,lambda,GroupCount,FreeMLP,H0,MoE_K4,MoE_dir,TRA4,gap
highTRA,DS02,1,100,3,0.931758054221947,0.933202629932685,0.930574710615702,0.930747626968,0.931837848763835,-0.0026279193169837
highTRA,DS02,1,316.227766016838,3,0.86601446362814,0.868857982900002,0.864864444006374,0.864472052233155,0.867475323309929,-0.0039935388936283
highTRA,DS02,1,1000,3,0.712985473662953,0.715949159199592,0.71203044699687,0.711535488612412,0.714203457249091,-0.00391871220272166
highTRA,DS02,10,0.1,3,-0.174282866588172,-0.492125317246932,0.0257546765192487,0.0120465818192336,-0.127028177576728,0.517879993766181
highTRA,DS02,10,0.316227766016838,3,0.379145217947945,0.381392574905657,0.459002413779102,0.466117662329192,0.41059022517724,0.0776098388734453
highTRA,DS02,10,1,3,0.808233228530835,0.810021361100442,0.821505603830485,0.82703656062627,0.816158256853601,0.011484242730043
highTRA,DS02,10,3.16227766016838,3,0.904246450116794,0.904142988993778,0.907170070181692,0.909253181742762,0.903230315067998,0.00302708118791406
highTRA,DS02,10,10,3,0.938999362827063,0.934504206313873,0.938279174174128,0.939192569908597,0.935388478103434,0.00377496786025466
highTRA,DS02,10,31.6227766016838,3,0.94298662151503,0.939791729825083,0.941810431228892,0.942341523634816,0.940748623295651,0.00201870140380933
highTRA,DS02,10,100,3,0.929936201390346,0.931735556270967,0.928632737429937,0.92890003902099,0.930713818662277,-0.00310281884102948
highTRA,DS02,10,316.227766016838,3,0.863070133513262,0.866326944056074,0.861943728765643,0.86162752502314,0.864818704560917,-0.00438321529043029
highTRA,DS02,10,1000,3,0.709329370731487,0.712570766109633,0.7086525084597,0.708184615568594,0.710774318908753,-0.00391825764993337
highTRA,DS02,100,0.1,3,-0.160435719911288,-0.437063320684592,-0.0418797099101859,-0.0448218172439004,-0.178582000157765,0.395183610774406
highTRA,DS02,100,0.316227766016838,3,0.352715278695253,0.381210799222551,0.416986617303671,0.426904965811828,0.371669446846836,0.0357758180811203
highTRA,DS02,100,1,3,0.79618087022028,0.799791845833761,0.809359104415376,0.815572127925157,0.797763859658134,0.00956725858161511
highTRA,DS02,100,3.16227766016838,3,0.91599633391816,0.912477763943258,0.917236913538441,0.919167410046746,0.91570962120044,0.00475914959518275
highTRA,DS02,100,10,3,0.94215443732047,0.936428496045739,0.941416402081834,0.942220223405693,0.93917603593491,0.00498790603609478
highTRA,DS02,100,31.6227766016838,3,0.944270555190564,0.940852019428164,0.943129278698191,0.943628400177175,0.942441574661877,0.00227725927002742
highTRA,DS02,100,100,3,0.9305099662786,0.932527330633005,0.929244931260178,0.92954084424435,0.931477503277714,-0.00328239937282704
