perturbation,amplitude,seed,channel,regime,subset,unit,RMSE,detection_F1,isolation_macroF1,stage_kappa,stage_MAE,input_MSE
missing_channel,1,0,4,test_id,DS05_id,2,0.0115881549665186,0.862385321100917,0.391630591630592,0.861111111111111,0.325,0
missing_channel,1,0,4,test_id,DS07_id,3,0.0207885423641085,0.96078431372549,0.622666936190284,0.918648310387985,0.153846153846154,0
missing_channel,1,0,4,test_id,DS06_id,4,0.0157898533042762,0.873015873015873,0.576483371126228,0.889085025007355,0.298850574712644,0
missing_channel,1,0,4,ood_combo,DS02,11,0.0282995653019461,0.881720430107527,0.926927782815851,0.662566094744793,0.525423728813559,0
missing_channel,1,0,4,ood_combo,DS03,10,0.0326143723895952,0.924528301886792,0.718237338629593,0.941798941798942,0.136363636363636,0
missing_channel,1,0,5,test_id,DS01-005_id,4,0.12832469072185,0.974789915966387,0,0.931549150797735,0.157894736842105,0
missing_channel,1,0,5,test_id,DS04_id,6,0.0279553214723583,0.936507936507936,0.297116809116809,0.94876255682137,0.132530120481928,0
missing_channel,1,0,5,test_id,DS05_id,2,0.0420995225769306,0.912280701754386,0.31414373088685,0.889455782312925,0.325,0
missing_channel,1,0,5,test_id,DS07_id,3,0.0290315758335524,0.96078431372549,0.37360016171417,0.918648310387985,0.153846153846154,0
missing_channel,1,0,5,test_id,DS06_id,4,0.0180868567149577,0.901639344262295,0.614640807646736,0.918240766845221,0.229885057471264,0
missing_channel,1,0,5,ood_combo,DS02,11,0.0334516492963546,0.881720430107527,0.631352485563619,0.662566094744793,0.525423728813559,0
missing_channel,1,0,5,ood_combo,DS03,10,0.0456839845738888,0.942307692307692,0.508393162393162,0.943993965679804,0.136363636363636,0
missing_channel,1,0,6,test_id,DS01-005_id,4,0.0961686828547448,0.892307692307692,0.231481481481481,0.866269626421224,0.263157894736842,0
missing_channel,1,0,6,test_id,DS04_id,6,0.0283122748028952,0.928,0.358481355932203,0.944703530979347,0.144578313253012,0
missing_channel,1,0,6,test_id,DS05_id,2,0.00584269572073063,0.862385321100917,0.336286588029707,0.865694551036071,0.3125,0
missing_channel,1,0,6,test_id,DS07_id,3,0.0190281703687401,0.94,0.46180412371134,0.898862956313585,0.179487179487179,0
missing_channel,1,0,6,test_id,DS06_id,4,0.0179436516706651,0.901639344262295,0.517740388487217,0.893110292032889,0.298850574712644,0
missing_channel,1,0,6,ood_combo,DS02,11,0.0322431798684985,0.881720430107527,0.687848166860992,0.662566094744793,0.525423728813559,0
missing_channel,1,0,6,ood_combo,DS03,10,0.0370964319014726,0.924528301886792,0.716328153903071,0.901688182720953,0.196969696969697,0
missing_channel,1,0,7,test_id,DS01-005_id,4,0.112206562509075,0.846715328467153,0.231481481481481,0.77877457530063,0.389473684210526,0
missing_channel,1,0,7,test_id,DS04_id,6,0.0315663174918153,0.977099236641221,0.254671550671551,0.970452118191527,0.072289156626506,0
missing_channel,1,0,7,test_id,DS05_id,2,0.00600315102457172,0.862385321100917,0.571412390984256,0.880860876249039,0.2625,0
missing_channel,1,0,7,test_id,DS07_id,3,0.021316121655959,0.96078431372549,0.622666936190284,0.918648310387985,0.153846153846154,0
missing_channel,1,0,7,test_id,DS06_id,4,0.0186545563797859,0.990825688073394,0.599391369372266,0.951882578174856,0.126436781609195,0
missing_channel,1,0,7,ood_combo,DS02,11,0.0300818184305918,0.881720430107527,0.85602831191638,0.662566094744793,0.525423728813559,0
missing_channel,1,0,7,ood_combo,DS03,10,0.042089405403395,0.96078431372549,0.730196078431373,0.969641214351426,0.0757575757575758,0
missing_channel,1,0,8,test_id,DS01-005_id,4,0.104331615595024,0.878787878787879,0.21969696969697,0.84385506163616,0.315789473684211,0
missing_channel,1,0,8,test_id,DS04_id,6,0.0282289421553491,0.928,0.256058111380145,0.944703530979347,0.144578313253012,0
missing_channel,1,0,8,test_id,DS05_id,2,0.00556052877541667,0.862385321100917,0.560477646716179,0.865694551036071,0.3125,0
missing_channel,1,0,8,test_id,DS07_id,3,0.0194118765710762,0.96078431372549,0.467000202142713,0.902985074626866,0.205128205128205,0
missing_channel,1,0,8,test_id,DS06_id,4,0.0187812731649857,0.990825688073394,0.507475801312968,0.937173442079776,0.172413793103448,0
missing_channel,1,0,8,ood_combo,DS02,11,0.0283666759492325,0.881720430107527,0.881930546773839,0.662566094744793,0.525423728813559,0
missing_channel,1,0,8,ood_combo,DS03,10,0.0401308806873489,0.924528301886792,0.718237338629593,0.941798941798942,0.136363636363636,0
missing_channel,1,0,9,test_id,DS01-005_id,4,0.102217181984308,0.878787878787879,0.21969696969697,0.84385506163616,0.315789473684211,0
