quantile,subset,unit,N,component,mean_gain,mean_abs_gain_minus1
0.75,DS03,15,1000,2,1.07734667009382,0.0982396068857677
0.75,DS03,15,1000,3,1.0826525919473,0.116874141479606
0.75,DS03,15,1000,4,1.12122393899889,0.121223938998891
0.75,DS03,15,1000,5,1.0761167166838,0.0761167166838005
0.75,DS03,15,1000,6,1.17847874805109,0.178478748051088
0.75,DS03,15,1000,7,1.10035332814971,0.10035332814971
0.75,DS03,15,1000,8,1.30521768954263,0.305217689542628
0.75,DS03,15,1000,9,1.06114025792079,0.0611402579207919
0.85,DS02,11,1,1,1.07946285352869,0.0797972416473647
0.85,DS02,11,1,2,1.16238687604161,0.166092777656297
0.85,DS02,11,1,3,1.19820860988003,0.203690707683563
0.85,DS02,11,1,4,1.14501264741865,0.145012647418653
0.85,DS02,11,1,5,1.0835691084296,0.0835691084296016
0.85,DS02,11,1,6,1.22686980538449,0.22686980538449
0.85,DS02,11,1,7,1.12314711788953,0.123301087799719
0.85,DS02,11,1,8,1.32704182398521,0.327041823985213
0.85,DS02,11,1,9,1.03667883953806,0.036678839538057
0.85,DS02,11,10,1,1.08023810588707,0.0802381058870736
0.85,DS02,11,10,2,1.16249751741603,0.162957457162566
0.85,DS02,11,10,3,1.1980302232807,0.199604444584604
0.85,DS02,11,10,4,1.14600392519417,0.146003925194175
0.85,DS02,11,10,5,1.08431710429111,0.0843171042911077
0.85,DS02,11,10,6,1.22823929786682,0.228239297866821
0.85,DS02,11,10,7,1.12422615996862,0.124226159968619
0.85,DS02,11,10,8,1.32818029896688,0.328180298966877
0.85,DS02,11,10,9,1.03719500970032,0.0371950097003226
0.85,DS02,11,100,1,1.08021515708859,0.0802151570885868
0.85,DS02,11,100,2,1.16216313131785,0.1632087725704
0.85,DS02,11,100,3,1.19757472559557,0.200696762335502
0.85,DS02,11,100,4,1.14593360989781,0.145933609897807
0.85,DS02,11,100,5,1.08427620136132,0.0842762013613167
0.85,DS02,11,100,6,1.22808096570484,0.228080965704837
0.85,DS02,11,100,7,1.12418868582127,0.124188685821275
0.85,DS02,11,100,8,1.32804834236533,0.32804834236533
0.85,DS02,11,100,9,1.03722589702929,0.0372258970292948
0.85,DS02,11,1000,1,1.08025716522993,0.0802571652299267
0.85,DS02,11,1000,2,1.16241536201057,0.163002621319334
0.85,DS02,11,1000,3,1.1979177806337,0.200511702036453
0.85,DS02,11,1000,4,1.14600133491775,0.146001334917747
0.85,DS02,11,1000,5,1.08429919461072,0.084299194610725
0.85,DS02,11,1000,6,1.22822062443879,0.228220624438787
0.85,DS02,11,1000,7,1.12425042815128,0.124250428151276
0.85,DS02,11,1000,8,1.32811738070795,0.328117380707951
0.85,DS02,11,1000,9,1.03715987124686,0.0371598712468551
0.85,DS02,14,1,1,1.03223868341822,0.0420115880276027
0.85,DS02,14,1,2,0.972467345626731,0.0638289749622345
0.85,DS02,14,1,3,0.946143765982829,0.0828884706685418
0.85,DS02,14,1,4,1.07514967494889,0.0783436321898511
0.85,DS02,14,1,5,1.05287113550462,0.0540018936521129
0.85,DS02,14,1,6,1.09604489960169,0.109823827680789
0.85,DS02,14,1,7,1.05503452451606,0.06507387600447
0.85,DS02,14,1,8,1.25601045552053,0.256010455520529
0.85,DS02,14,1,9,1.07858881824895,0.0785888182489495
0.85,DS02,14,10,1,1.03145753553039,0.0357947773055026
0.85,DS02,14,10,2,0.975296226771254,0.0542073602739133
0.85,DS02,14,10,3,0.950547713982432,0.0727753984300714
0.85,DS02,14,10,4,1.07429689325784,0.0747016527150807
0.85,DS02,14,10,5,1.05186715957366,0.0520390421152115
0.85,DS02,14,10,6,1.09541768227753,0.0986731766085876
0.85,DS02,14,10,7,1.05398519415604,0.057355168618654
0.85,DS02,14,10,8,1.25486592242592,0.254865922425923
0.85,DS02,14,10,9,1.07686919758194,0.0768691975819437
0.85,DS02,14,100,1,1.03117260101594,0.033753323711847
0.85,DS02,14,100,2,0.973805705183431,0.054472604864522
0.85,DS02,14,100,3,0.948579487831969,0.0740887797192523
0.85,DS02,14,100,4,1.07377984492402,0.0737798449240233
0.85,DS02,14,100,5,1.0515612426557,0.0515612426557039
0.85,DS02,14,100,6,1.09443461738135,0.0947681241913846
0.85,DS02,14,100,7,1.05356570372456,0.0542163182246058
0.85,DS02,14,100,8,1.25412392773126,0.254123927731263
0.85,DS02,14,100,9,1.0769785391657,0.0769785391656976
0.85,DS02,14,1000,1,1.0312224187349,0.0335153686372857
0.85,DS02,14,1000,2,0.973438378227384,0.0547274829525697
0.85,DS02,14,1000,3,0.948036880085343,0.0746522177206843
