quantile,subset,unit,N,lambda,Z_zero_skill,H0_skill,MoE_skill,gap
0.75,DS02,15,1000,0.1,0,-0.873982422419302,-0.495937450994524,0.378044971424778
0.75,DS02,15,1000,0.316227766016838,0,-0.0821978628712796,-0.0588098275242812,0.0233880353469984
0.75,DS02,15,1000,1,0,0.794097706668055,0.760242948623839,-0.0338547580442164
0.75,DS02,15,1000,3.16227766016838,0,0.947650893724622,0.935820812248751,-0.0118300814758705
0.75,DS02,15,1000,10,0,0.982453792353574,0.982625611458416,0.00017181910484243
0.75,DS02,15,1000,31.6227766016838,0,0.991137765360086,0.989857955946077,-0.0012798094140084
0.75,DS02,15,1000,100,0,0.980670196819605,0.972855811734272,-0.00781438508533328
0.75,DS02,15,1000,316.227766016838,0,0.901260955529073,0.895291893410707,-0.00596906211836601
0.75,DS02,15,1000,1000,0,0.727734032803019,0.725296006248936,-0.00243802655408276
0.75,DS03,10,1,0.001,0,-0.0657605769459395,0.213326098002915,0.279086674948855
0.75,DS03,10,1,0.00316227766016838,0,-0.0657425160066192,0.213333557566432,0.279076073573052
0.75,DS03,10,1,0.01,0,-0.0656854084499074,0.213357145057688,0.279042553507595
0.75,DS03,10,1,0.0316227766016838,0,-0.0655048799611875,0.213431718059766,0.278936598020954
0.75,DS03,10,1,0.1,0,-0.0649263110207692,0.213667366764237,0.278593677785007
0.75,DS03,10,1,0.316227766016838,0,0.117664366247588,0.329157757016497,0.21149339076891
0.75,DS03,10,1,1,0,0.72420553479916,0.735586104096969,0.0113805692978093
0.75,DS03,10,1,3.16227766016838,0,0.925416713871639,0.930282714986131,0.00486600111449287
0.75,DS03,10,1,10,0,0.976269851006998,0.978843541661553,0.00257369065455537
0.75,DS03,10,1,31.6227766016838,0,0.98638625235897,0.980445079301852,-0.00594117305711817
0.75,DS03,10,1,100,0,0.962310167119554,0.947397776571711,-0.0149123905478429
0.75,DS03,10,1,316.227766016838,0,0.825625919605114,0.826925261375494,0.00129934177037938
0.75,DS03,10,1,1000,0,0.582435140549715,0.60074442620598,0.0183092856562644
0.75,DS03,10,10,0.001,0,-0.097724936736439,0.188689489688338,0.286414426424777
0.75,DS03,10,10,0.00316227766016838,0,-0.0977067915471761,0.188697227321028,0.286404018868204
0.75,DS03,10,10,0.01,0,-0.0976494173892744,0.188721693963482,0.286371111352757
0.75,DS03,10,10,0.0316227766016838,0,-0.0974680440395446,0.188799045279161,0.286267089318706
0.75,DS03,10,10,0.1,0,-0.0968950872196686,0.189043461739799,0.285938548959468
0.75,DS03,10,10,0.316227766016838,0,0.40832897528659,0.534202912440053,0.125873937153463
0.75,DS03,10,10,1,0,0.87690343555384,0.884706949108866,0.00780351355502684
0.75,DS03,10,10,3.16227766016838,0,0.960173249436427,0.973517171484543,0.0133439220481159
0.75,DS03,10,10,10,0,0.979666456769823,0.989752978885028,0.0100865221152058
0.75,DS03,10,10,31.6227766016838,0,0.988115168249584,0.986187816628362,-0.00192735162122182
0.75,DS03,10,10,100,0,0.964599911180848,0.952259304895745,-0.0123406062851033
0.75,DS03,10,10,316.227766016838,0,0.827626347877762,0.830847530806859,0.00322118292909657
0.75,DS03,10,10,1000,0,0.585895574432535,0.604118402556025,0.0182228281234904
0.75,DS03,10,100,0.001,0,-0.104897898930179,0.187514473789934,0.292412372720113
0.75,DS03,10,100,0.00316227766016838,0,-0.104882652020073,0.187521809690644,0.292404461710717
0.75,DS03,10,100,0.01,0,-0.10483444113834,0.187545006314287,0.292379447452628
0.75,DS03,10,100,0.0316227766016838,0,-0.10468202574665,0.187618345169367,0.292300370916017
0.75,DS03,10,100,0.1,0,-0.104200453600362,0.187850109999543,0.292050563599905
0.75,DS03,10,100,0.316227766016838,0,0.258693695411722,0.377843105659218,0.119149410247496
0.75,DS03,10,100,1,0,0.783330839178398,0.793039886688732,0.00970904751033319
0.75,DS03,10,100,3.16227766016838,0,0.946882848744863,0.961670490103061,0.0147876413581979
0.75,DS03,10,100,10,0,0.974434168886682,0.989013541721311,0.0145793728346288
0.75,DS03,10,100,31.6227766016838,0,0.987472594227254,0.98718247404653,-0.000290120180723719
0.75,DS03,10,100,100,0,0.966812740674996,0.954155936083307,-0.0126568045916887
0.75,DS03,10,100,316.227766016838,0,0.831117988192547,0.833161264307206,0.00204327611465938
0.75,DS03,10,100,1000,0,0.587466541307248,0.605699231115634,0.0182326898083851
0.75,DS03,10,1000,0.001,0,-0.106396748293316,0.187792724902435,0.294189473195751
