subset,unit,N,method,lam,skill,rmse,rmse_early,false_alarm,detect_corr,res_norm,sol_norm,delta
DS02,11,100,D,3.162277660168379e-06,0.04521484911777851,0.08153428454347593,0.007964171912561305,0.0007387486501120859,0.9618282722500316,6.15348687103137,2.586176608068309,2.599510286068454
DS02,11,100,B,1e-05,-32.28462844347533,0.4814035551981356,0.5953100964672404,0.009980181761016492,0.1150946204571145,2.003977243924372,11.360178402541212,2.599510286068454
DS02,11,100,D,1e-05,0.0453809398117786,0.08152719254226737,0.007961820032594826,0.0007387361717568724,0.9618394438589232,6.153486871325904,2.5860701154419625,2.599510286068454
DS02,11,100,B,3.1622776601683795e-05,-32.24155903608834,0.4810919927985823,0.5949275748566077,0.009978620785727678,0.11518233247726893,2.003978077286048,11.353111195159604,2.599510286068454
DS02,11,100,D,3.1622776601683795e-05,0.04590582886929728,0.08150477594859046,0.007954387349884205,0.0007386967292848645,0.9618747290256624,6.153486874269126,2.585733550397445,2.599510286068454
DS02,11,100,B,0.0001,-32.105908029563544,0.4801093775203679,0.5937211649372744,0.009973697706546701,0.11545967146955029,2.0039863745477717,11.330823338843668,2.599510286068454
DS02,11,100,D,0.0001,0.04756232208111533,0.08143399113251597,0.007930929245724317,0.0007385721764911044,0.9619858862444747,6.153486903634252,2.5846711770246102,2.599510286068454
DS02,11,100,B,0.00031622776601683794,-31.682340352077077,0.4770281530445661,0.5899381665604914,0.009958259956666061,0.11633638608314534,2.0040682110205594,11.260943632116186,2.599510286068454
DS02,11,100,D,0.00031622776601683794,0.052767303920460584,0.08121117176354214,0.007857207804414366,0.0007381800501842688,0.9623331957500795,6.15348719517821,2.581330939926968,2.599510286068454
DS02,11,100,B,0.001,-30.394882409069627,0.4675379485973378,0.5782863689204117,0.00991098475032516,0.1191056995014404,2.00485195679078,11.045803290302915,2.599510286068454
