subset,align_pct,unit,N,method,skill,rmse_early,false_alarm,detect_corr,rmse
DS02,2.548968189006109,14,1,C_约束无收缩,0.39792956768204213,0.00612892458926906,0.002114013351835508,0.9907096962896346,0.06064359932619431
DS02,2.548968189006109,14,1,D_约束+收缩★,0.8406585405809166,0.0036700631629944815,0.0030953583013716545,0.9807143133958474,0.031197925396748094
DS02,2.548968189006109,14,10,Z_全零,0.0,0.005612131201891212,0.0,0.0,0.07815581926593952
DS02,2.548968189006109,14,10,A_无约束无收缩,-64.59813071920811,0.6493067758362918,0.010263971563946867,0.08297551437058114,0.6330048709107254
DS02,2.548968189006109,14,10,B_无约束+收缩,0.8409194241758579,0.00838114158353287,0.0069690407056312706,0.9683571623657219,0.03117237535747951
DS02,2.548968189006109,14,10,C_约束无收缩,0.4008257332791759,0.0060487545295151044,0.0017879861515190864,0.7825262270139847,0.060497565223694524
DS02,2.548968189006109,14,10,D_约束+收缩★,0.8343879061382897,0.00301105389726444,0.002674966577217811,0.9917240719320537,0.0318058747186912
DS02,2.548968189006109,14,100,Z_全零,0.0,0.005612131201891212,0.0,0.0,0.07815581926593952
DS02,2.548968189006109,14,100,A_无约束无收缩,-25.59515807257692,0.3818691557273654,0.006787252644895143,0.10962414323097854,0.40305341750670115
DS02,2.548968189006109,14,100,B_无约束+收缩,0.8473718975149637,0.005718868291250492,0.005007331630284176,0.9841382516039867,0.030533639408067432
DS02,2.548968189006109,14,100,C_约束无收缩,0.5626945596012649,0.005932529149449907,0.0014274979832511808,0.9481198278948902,0.05168371941520451
DS02,2.548968189006109,14,100,D_约束+收缩★,0.859478874531273,0.0026050254448271646,0.00169912008868807,0.9922707026828949,0.029297605692944123
DS02,2.548968189006109,14,1000,Z_全零,0.0,0.005612131201891212,0.0,0.0,0.07815581926593952
DS02,2.548968189006109,14,1000,A_无约束无收缩,-25.186837216327838,0.36498807831831254,0.0059393159045249815,0.10144446708195182,0.3999473690081947
DS02,2.548968189006109,14,1000,B_无约束+收缩,0.8539315562995073,0.00709161723753577,0.005094292743105125,0.9766974761491761,0.02987029563430456
DS02,2.548968189006109,14,1000,C_约束无收缩,0.5106749017177801,0.00597008664454428,0.0013417184987938912,0.951952996207118,0.054671383720341075
DS02,2.548968189006109,14,1000,D_约束+收缩★,0.8611629834966605,0.0023523836281593553,0.0015698020692435073,0.9927976231904427,0.029121514426813384
DS02,2.548968189006109,15,1,Z_全零,0.0,0.005145058614833983,0.0,0.0,0.07834294999233453
DS02,2.548968189006109,15,1,A_无约束无收缩,-359.4550946063288,1.393020182452294,0.02688542561748154,0.1059070700926123,1.4873922178171926
DS02,2.548968189006109,15,1,B_无约束+收缩,0.8741968642845048,0.020376804899242505,0.01611954398069709,0.9488345069875274,0.027787255473719623
DS02,2.548968189006109,15,1,C_约束无收缩,-0.4955978688414153,0.006282362254180125,0.0031887091508336217,0.9924015390036547,0.09580922774783149
DS02,2.548968189006109,15,1,D_约束+收缩★,0.9542693899813393,0.00392929360881017,0.003978914595086419,0.9906917677661694,0.016753417760947135
DS02,2.548968189006109,15,10,Z_全零,0.0,0.005145058614833983,0.0,0.0,0.07834294999233453
DS02,2.548968189006109,15,10,A_无约束无收缩,-92.32297368823609,0.5491066156363789,0.012027776208638338,0.12532262090031887,0.7568227967746762
DS02,2.548968189006109,15,10,B_无约束+收缩,0.9688444155858209,0.010436243935611293,0.008952100113736353,0.9902429406187596,0.013828270676064786
DS02,2.548968189006109,15,10,C_约束无收缩,-0.534857114150131,0.0052924384072172825,0.001756340422065551,0.865820696391041,0.09705857182643499
DS02,2.548968189006109,15,10,D_约束+收缩★,0.9632056916993363,0.0032899187496776548,0.003328495161637627,0.995416514825085,0.015027621304172428
DS02,2.548968189006109,15,100,Z_全零,0.0,0.005145058614833983,0.0,0.0,0.07834294999233453
DS02,2.548968189006109,15,100,A_无约束无收缩,-44.758287640611584,0.4238246307073189,0.008759191155650842,0.21205768793693638,0.5299498856857504
DS02,2.548968189006109,15,100,B_无约束+收缩,0.9756147628899594,0.00716592427181187,0.007197119018779925,0.9940645979562673,0.012233857350526916
DS02,2.548968189006109,15,100,C_约束无收缩,-0.5591439617335783,0.004775385754293453,0.0009757716979782093,0.9967582283691567,0.09782346218238853
