subset,unit,N,method,lam,skill,rmse,false_alarm,detect_corr
DS02,11,100,B_岭回归,3.162277660168379e-06,-32.29826553165502,0.48150216333564755,0.009980675802037637,0.1150668825086013
DS02,11,100,D_约束+收缩★,3.162277660168379e-06,0.04521484911777851,0.08153428454347593,0.0007387486501120859,0.9618282722500316
DS02,11,100,B_岭回归,1e-05,-32.28462844347533,0.4814035551981356,0.009980181761016492,0.1150946204571145
DS02,11,100,D_约束+收缩★,1e-05,0.0453809398117786,0.08152719254226737,0.0007387361717568724,0.9618394438589232
DS02,11,100,B_岭回归,3.1622776601683795e-05,-32.24155903608834,0.4810919927985823,0.009978620785727678,0.11518233247726893
DS02,11,100,D_约束+收缩★,3.1622776601683795e-05,0.04590582886929728,0.08150477594859046,0.0007386967292848645,0.9618747290256624
DS02,11,100,B_岭回归,0.0001,-32.105908029563544,0.4801093775203679,0.009973697706546701,0.11545967146955029
DS02,11,100,D_约束+收缩★,0.0001,0.04756232208111533,0.08143399113251597,0.0007385721764911044,0.9619858862444747
DS02,11,100,B_岭回归,0.00031622776601683794,-31.682340352077077,0.4770281530445661,0.009958259956666061,0.11633638608314534
DS02,11,100,D_约束+收缩★,0.00031622776601683794,0.052767303920460584,0.08121117176354214,0.0007381800501842688,0.9623331957500795
DS02,11,100,B_岭回归,0.001,-30.394882409069627,0.4675379485973378,0.00991098475032516,0.1191056995014404
DS02,11,100,D_约束+收缩★,0.001,0.06792096390561153,0.08055895179008075,0.0007370779420306241,0.9634731830382955
DS02,11,100,B_岭回归,0.0031622776601683794,-26.786662056827403,0.43985104306572376,0.00978264549159698,0.12783143823234458
DS02,11,100,D_约束+收缩★,0.0031622776601683794,0.11000255860917407,0.07871940732686075,0.0007341204411117956,0.9668852728316231
DS02,11,100,B_岭回归,0.01,-18.70195169856057,0.370375338675285,0.009466890899111277,0.15509123951040032
DS02,11,100,D_约束+收缩★,0.01,0.15784250842561687,0.07657448678602499,0.0007308172000748274,0.9682953870888538
DS02,11,100,B_岭回归,0.03162277660168379,-7.733490590869252,0.24659335247429548,0.008966496051408973,0.23750945531857992
DS02,11,100,D_约束+收缩★,0.03162277660168379,0.3693143775322072,0.06626647999203679,0.000714326521764213,0.9714563929070973
DS02,11,100,B_岭回归,0.1,-1.0397804457106585,0.11917335027257304,0.00853760652526092,0.45411154228889905
DS02,11,100,D_约束+收缩★,0.1,0.6599095726006798,0.048661404597869024,0.0006863677906760722,0.9759845378783001
DS02,11,100,B_岭回归,0.31622776601683794,0.7039110519811524,0.04540446210744033,0.008341756304995365,0.7934984637262353
DS02,11,100,D_约束+收缩★,0.31622776601683794,0.7723331715765405,0.039814137811140245,0.0006742513257797415,0.9733722593222928
DS02,11,100,B_岭回归,1.0,0.9463954473461766,0.019319161571449615,0.008206002875894508,0.9606245449028618
DS02,11,100,D_约束+收缩★,1.0,0.8375798587237971,0.03362849090389173,0.0006716460462132367,0.9728846822505529
DS02,11,100,B_岭回归,3.1622776601683795,0.9679592022169188,0.014936164810757152,0.007933857626447863,0.9847621891214454
DS02,11,100,D_约束+收缩★,3.1622776601683795,0.9239482182829158,0.023011351858426315,0.0006732628775031997,0.982973811656386
DS02,11,100,B_岭回归,10.0,0.971095676318748,0.01418629029473899,0.007235752235410076,0.9881068867791362
DS02,11,100,D_约束+收缩★,10.0,0.9676904765315968,0.014998668723487743,0.0006900347992479088,0.992504481548543
DS02,11,100,B_岭回归,31.622776601683793,0.9757752304618845,0.01298725188455239,0.0059900581002602,0.991364945299757
DS02,11,100,D_约束+收缩★,31.622776601683793,0.9789995574105569,0.012092098061397768,0.0009285972980218303,0.9950027624249952
DS02,11,100,B_岭回归,100.0,0.9673391925171206,0.01507998451122629,0.0058341241954493386,0.9945614637064285
DS02,11,100,D_约束+收缩★,100.0,0.9694121640394099,0.01459357897947014,0.002184062079843593,0.9948373659638142
DS02,11,100,B_岭回归,316.22776601683796,0.8966484934067018,0.02682537751584977,0.007547443111118128,0.9960347874590392
DS02,11,100,D_约束+收缩★,316.22776601683796,0.8979256861137809,0.026659111514547796,0.0048640375848475964,0.9942547818016179
DS02,11,100,B_岭回归,1000.0,0.7362909201272154,0.04284991633680294,0.008747317497721388,0.9963857738713985
DS02,11,100,D_约束+收缩★,1000.0,0.7384119657652002,0.04267724477004877,0.006537223961241466,0.9956018056819779
DS02,11,100,B_岭回归,3162.2776601683795,0.4967774625133087,0.059192608415893015,0.00682422829734283,0.9965152601684322
