perturbation,amplitude,seed,channel,regime,subset,unit,RMSE,detection_F1,isolation_macroF1,stage_kappa,stage_MAE,input_MSE
noise,0.5,43,NaN,ood_combo,DS03,15,0.0850660393354117,0.88659793814433,0.607126848946661,0.849017017639288,0.313432835820896,0.217743173274374
noise,1,43,NaN,test_id,DS01-005_id,4,0.153725665016169,0.90625,0,0.836713647301478,0.273684210526316,1.01481775680504
noise,1,43,NaN,test_id,DS04_id,6,0.0323113572730823,0.977099236641221,0.295829314225346,0.965582607665423,0.0843373493975904,1.03345307847127
noise,1,43,NaN,test_id,DS05_id,2,0.00979858485297726,0.862385321100917,0.336286588029707,0.864655839133797,0.3125,0.929990957511564
noise,1,43,NaN,test_id,DS07_id,3,0.012841368120092,0.96078431372549,0.37360016171417,0.920343137254902,0.153846153846154,1.03480252788259
noise,1,43,NaN,test_id,DS06_id,4,0.0199258190706938,0.827067669172932,0.622089743428446,0.87340193327097,0.32183908045977,1.05012751445102
noise,1,43,NaN,ood_combo,DS02,11,0.120295032860837,0.881720430107527,0.371344086021505,0.662566094744793,0.525423728813559,0.965516972011398
noise,1,43,NaN,ood_combo,DS02,14,0.0515319286258386,0.766355140186916,0.256360306360306,0.571747377817451,0.75,1.05457108860861
noise,1,43,NaN,ood_combo,DS02,15,0.0981728498624771,0.946236559139785,0.276391758038032,0.861896348645465,0.26865671641791,1.02670135302502
noise,1,43,NaN,ood_combo,DS03,10,0.078410582855187,0.91588785046729,0.383306717768551,0.825988700564972,0.333333333333333,1.06398395756765
noise,1,43,NaN,ood_combo,DS03,11,0.0552934197574065,0.854166666666667,0.526395579306538,0.681305777360263,0.474576271186441,0.912115518286996
noise,1,43,NaN,ood_combo,DS03,12,0.0773105440400981,0.786206896551724,0.30387912447265,0.507328271234328,0.666666666666667,1.00692917958825
noise,1,43,NaN,ood_combo,DS03,13,0.0826199367917685,0.907692307692308,0.306137694326671,0.717994628469114,0.350649350649351,0.972818742003572
noise,1,43,NaN,ood_combo,DS03,14,0.0615446966099965,0.738738738738739,0.221517132408222,0.480874316939891,0.868421052631579,0.924577833603901
noise,1,43,NaN,ood_combo,DS03,15,0.0889892262290484,0.88659793814433,0.30356342447333,0.817523928098981,0.343283582089552,0.870972693097497
bias,0.25,43,2,test_id,DS01-005_id,4,0.101486610793191,0.878787878787879,0.175757575757576,0.84385506163616,0.315789473684211,0.00480769230769231
bias,0.25,43,2,test_id,DS04_id,6,0.0281264488816341,0.928,0.298734463276836,0.944703530979347,0.144578313253012,0.00480769230769231
bias,0.25,43,5,test_id,DS05_id,2,0.00416846171361243,0.862385321100917,0.571412390984256,0.880860876249039,0.2625,0.00480769230769231
bias,0.25,43,9,test_id,DS07_id,3,0.0222043226997019,0.96078431372549,0.622666936190284,0.902985074626866,0.205128205128205,0.00480769230769231
bias,0.25,43,1,test_id,DS06_id,4,0.0173992399746719,0.990825688073394,0.526875658520289,0.955893536121673,0.114942528735632,0.00480769230769231
bias,0.25,43,6,ood_combo,DS02,11,0.0278568321604916,0.854166666666667,0.90794630133437,0.626159764652636,0.576271186440678,0.00480769230769231
bias,0.25,43,4,ood_combo,DS02,14,0.039111148241953,0.811881188118812,0.410991622239147,0.648299612569953,0.631578947368421,0.00480769230769231
bias,0.25,43,12,ood_combo,DS02,15,0.0910828174165138,0.936170212765957,0.268915253129392,0.866701053717486,0.283582089552239,0.00480769230769231
bias,0.25,43,6,ood_combo,DS03,10,0.0497649872654417,0.96078431372549,0.717874493927125,0.957230142566191,0.106060606060606,0.00480769230769231
bias,0.25,43,1,ood_combo,DS03,11,0.0283094346909945,0.881720430107527,0.930943847072879,0.662566094744793,0.525423728813559,0.00480769230769231
bias,0.25,43,12,ood_combo,DS03,12,0.0268871506844057,0.814285714285714,0.836679622081082,0.647742970455862,0.526881720430108,0.00480769230769231
bias,0.25,43,6,ood_combo,DS03,13,0.0605182272079031,0.936507936507936,0.916983241838141,0.761750405186386,0.337662337662338,0.00480769230769231
bias,0.25,43,6,ood_combo,DS03,14,0.037709708288094,0.759259259259259,0.451335722819594,0.516301920500223,0.815789473684211,0.00480769230769231
bias,0.25,43,2,ood_combo,DS03,15,0.0869137783319503,0.877551020408163,0.302055604850636,0.815765352887259,0.388059701492537,0.00480769230769231
bias,0.5,43,2,test_id,DS01-005_id,4,0.102084677102857,0.778523489932886,0.175757575757576,0.800599700149925,0.452631578947368,0.0192307692307692
bias,0.5,43,2,test_id,DS04_id,6,0.0283370076738222,0.928,0.297116809116809,0.944703530979347,0.144578313253012,0.0192307692307692
bias,0.5,43,5,test_id,DS05_id,2,0.00429480208333292,0.862385321100917,0.574923547400612,0.884437596302003,0.25,0.0192307692307692
bias,0.5,43,9,test_id,DS07_id,3,0.0223112472837504,0.96078431372549,0.467000202142713,0.902985074626866,0.205128205128205,0.0192307692307692
bias,0.5,43,1,test_id,DS06_id,4,0.0171529911266061,0.901639344262295,0.532132106985083,0.914189093983373,0.241379310344828,0.0192307692307692
bias,0.5,43,6,ood_combo,DS02,11,0.0300405865420882,0.854166666666667,0.683971774193548,0.626159764652636,0.576271186440678,0.0192307692307692
bias,0.5,43,4,ood_combo,DS02,14,0.0453480211058192,0.732142857142857,0.400029161776735,0.436330442720219,0.921052631578947,0.0192307692307692
bias,0.5,43,12,ood_combo,DS02,15,0.0916508974113002,0.936170212765957,0.268915253129392,0.866701053717486,0.283582089552239,0.0192307692307692
bias,0.5,43,6,ood_combo,DS03,10,0.0542557758877837,0.96078431372549,0.673300094966762,0.970005453553899,0.0757575757575758,0.0192307692307692
bias,0.5,43,1,ood_combo,DS03,11,0.0306512112091615,0.881720430107527,0.930943847072879,0.662566094744793,0.525423728813559,0.0192307692307692
